title,company,link,c_,l_,posted_date,applications,job_modality,f_p_time,job_responsibility,job_skills,job_salary,scraped_on
Azure & Spark Data Engineer- International Data Projects,"Bluetab, an IBM Company",https://www.linkedin.com/company/bluetab/life,"Bluetab, an IBM Company",España,hace 1 semana,37 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Inglés, Python y Trabajo en equipo, Apache Spark, Azure DevOps, Azure Functions, DevOps, Estadística, Microsoft Azure y Scala",,2024-03-10
Analista desarrollador/a Teradata,Ayesa,https://www.linkedin.com/company/ayesa/life,Ayesa,"Madrid, Comunidad de Madrid, España",hace 1 semana,20 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Planificación y Python, Capacidad de razonamiento, Dirección de equipos, Exadata, Extraer, transformar y cargar (ETL), Integración, Integración continua, Oracle Database, Teradata y Unix",,2024-03-10
Senior Analytics Engineer,Clone,https://www.linkedin.com/company/clone-fr/life,Clone,"Barcelona, Cataluña, España",hace 3 semanas,49 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,,,2024-03-10
Senior Data Engineer,JAKALA,https://www.linkedin.com/company/jakala-spa/life,JAKALA,"Madrid, Comunidad de Madrid, España",hace 3 semanas,13 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Bases de datos, Almacenamiento de datos, Arquitectura de datos, Big data, Calidad de datos, Computación en la nube, Extraer, transformar y cargar (ETL), Ingeniería de datos , Modelado de datos y Procesamiento de datos",,2024-03-10
Desarrollador/a Big Data,"CDS, a Hewlett Packard Enterprise company",https://www.linkedin.com/company/hpecds/life,"CDS, a Hewlett Packard Enterprise company","Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Análisis de datos, Bases de datos, Microsoft Power BI, Python y SQL, Análisis de Big Data, Bash, Desarrollo Java, Desarrollo de API, Java y Perl",,2024-03-10
DevOps Analyst-Developer (work for Europe & International Organizations) (she/he/they),NTT DATA Europe & Latam,https://www.linkedin.com/company/ntt-data-europe-latam/life,NTT DATA Europe & Latam,"Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,57 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Trabajo en equipo, Amazon Web Services (AWS), DevOps, DevSecOps, Git, JIRA, Jenkins, Kanban, Microsoft Azure y SonarQube",,2024-03-10
DevOps Engineer,Alhona,https://www.linkedin.com/company/alhona-smart-industry/life,Alhona,España,hace 3 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Comunicación, Administración de sistemas Linux, Continuous Delivery, DevOps, InfluxDB, Infraestructura como código (IaC), Infraestructura en la nube, Ingeniería de datos , Máquinas virtuales y PostgreSQL",,2024-03-10
"ENTERPRISE ARCHITECT IN MADRID, SPAIN (M/F)",GT Global Talent,https://www.linkedin.com/company/gt-global-talent/life,GT Global Talent,"Madrid, Comunidad de Madrid, España",hace 4 días,8 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Inglés, Arquitectura, Arquitectura de empresa, Arquitectura de soluciones, B2, ERP de Infor, Español, Interoperabilidad, Microsoft Dynamics NAV y Planificación de recursos empresariales (ERP)",,2024-03-10
Azure/AWS Cloud Engineer,"SPHERA-TI, S.A",https://www.linkedin.com/company/sphera-ti-s-a/life,"SPHERA-TI, S.A",España,hace 4 días,99 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Inglés, Administración de sistemas, Amazon Web Services (AWS), Certificación MCSA, Microsoft, Microsoft Exchange y Terraform",,2024-03-10
Cloud Platform Engineer,Inetum,https://www.linkedin.com/company/inetum/life,Inetum,"Madrid, Comunidad de Madrid, España",hace 3 semanas,37 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Google Cloud,,2024-03-10
Senior Data Engineer (Hybrid - m/f/x/d - 80%-100%),iptiQ by Swiss Re,https://www.linkedin.com/company/iptiq/life,iptiQ by Swiss Re,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,35 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Inglés y Python, Canalizaciones de datos, Desarrollo de software, Ingeniería de datos , Inglés hablado, Java, Kotlin, Modelo de datos y Scala",,2024-03-10
Senior Data Engineer - (AWS/Azure),NTT DATA Europe & Latam,https://www.linkedin.com/company/ntt-data-europe-latam/life,NTT DATA Europe & Latam,Barcelona y alrededores,Publicado de nuevo hace 3 semanas,90 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, SQL y Visualización, Amazon Web Services (AWS), Gestión de datos, Google Cloud  y Microsoft Azure",,2024-03-10
Systems Integrator,Entrust,https://www.linkedin.com/company/entrust/life,Entrust,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,11 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,Intermedio,"Bases de datos y Comunicación, Automatización, Ciencias de la computación, Comunicación oral, Ingeniería de sistemas y Resolución de incidencias",,2024-03-10
System Engineer,LHH,https://www.linkedin.com/company/lee-hecht-harrison/life,LHH,"Barcelona, Cataluña, España",hace 4 semanas,43 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Intermedio,"Capacidad de análisis y Inglés, Administración de sistemas, Arquitectura de sistemas, Discusiones técnicas, Ingeniería de sistemas, Requisitos del sistema y Resolución de incidencias",,2024-03-10
☁Analista de Sistemas/ aplicaciones web (híbrido),knowmad mood,https://www.linkedin.com/company/knowmad-mood/life,knowmad mood,"Madrid, Comunidad de Madrid, España",hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Bases de datos, Capacidad de análisis y Resolución de problemas, Administración de páginas web, Análisis de requisitos, Análisis de sistemas, Documentación, Escucha activa, Genexus, JBoss Application Server, WebSphere y WildFly",,2024-03-10
Snaplogic Data Engineer | Fully Remote | Outside IR35,Energy Jobline,https://www.linkedin.com/company/energy-jobline/life,Energy Jobline,"Londres, Inglaterra, Reino Unido",hace 2 días,21 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Bases de datos y Ciencia de datos, Almacenamiento de datos, Asignación de datos, Extraer, transformar y cargar (ETL), Ingeniería de datos , Middleware, Pruebas de aceptación del usuario, Pruebas de validación y Pruebas del sistema",,2024-03-10
Data Visualisation Engineer,Templeton and Partners - Tech Recruitment,https://www.linkedin.com/company/templeton-recruitment/life,Templeton and Partners - Tech Recruitment,"Londres, Inglaterra, Reino Unido",hace 1 día,9 solicitudes,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Sin experiencia,Sin experiencia,"Analítica de datos, Ciencia de datos, Comunicación y Visualización de datos, Comunicación visual, D3.js, Diseño de experiencia de usuario (UX), Diseño de soluciones técnicas, Diseño web adaptable y Teoría del color",,2024-03-10
Data Engineer Intern,Acquire Me,https://www.linkedin.com/company/acquireme/life,Acquire Me,"Gran Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 2 días,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PrácticasCoincide con tus preferencias de empleo. El tipo de empleo es Prácticas.,Prácticas,"Capacidad de análisis, Ciencia de datos, Comunicación, Python y SQL, Ciencias de la computación, Comunicación escrita, Matemáticas, Microsoft Excel y Visual Basic for Applications (VBA)",,2024-03-10
"Data Engineer, Analytics",Meta,https://www.linkedin.com/company/meta/life,Meta,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 6 días,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis y Ciencia de datos, Almacenamiento de datos, Calidad de datos, Ciencias de la computación, Extraer, transformar y cargar (ETL) y Modelo de datos",,2024-03-10
Junior Data Engineer,Resource Solutions,https://www.linkedin.com/company/resource-solutions/life,Resource Solutions,"Londres y alrededores, Reino Unido",hace 1 día,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Sin experiencia,SQL de Azure,30.000 £/año - 35.000 £/año,2024-03-10
Python Data Engineer (SQL Data Warehousing/ETL) Remote £50k,Modis,https://www.linkedin.com/company/modis/life,Modis,"Mánchester, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Sin experiencia,"Ciencia de datos, Microsoft Power BI, Python y SQL, Almacenamiento de datos, Amazon S3, Extraer, transformar y cargar (ETL), Minería de datos, Object Storage y Servicios de datos",45.000 £/año - 50.000 £/año,2024-03-10
Data Engineer I,Trustpilot,https://www.linkedin.com/company/trustpilot/life,Trustpilot,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Bases de datos, Ciencia de datos, Comunicación, Python y Resolución de problemas, Extraer, transformar y cargar (ETL), Google Cloud , Ingeniería de datos , Java y Resolución creativa de problemas",,2024-03-10
Data Analytics Engineer,TEC Partners - Technical Recruitment Specialists,https://www.linkedin.com/company/tecpartners/life,TEC Partners - Technical Recruitment Specialists,"City de Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Análisis de datos, Bases de datos y Resolución de problemas, Almacenamiento de datos, Analítica, Datasets, Extraer, transformar y cargar (ETL) y Ingeniería de datos",,2024-03-10
Associate Data Engineer,Flutter UK & Ireland,https://www.linkedin.com/company/flutter-uk-ireland/life,Flutter UK & Ireland,"Leeds, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Python, Resolución de problemas y SQL, Big data, Integración continua y entrega continua (CI/CD) y Metodologías ágiles",,2024-03-10
Data Engineer FTC,RSM UK,https://www.linkedin.com/company/rsm-uk/life,RSM UK,"Preston, Inglaterra, Reino Unido",Publicado de nuevo hace 2 días,36 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Bases de datos, Ciencia de datos, Comunicación y Resolución de problemas, Almacenamiento de datos, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Necesidades empresariales",,2024-03-10
Junior Data Engineer,Sparta Global,https://www.linkedin.com/company/sparta-global/life,Sparta Global,"Londres, Inglaterra, Reino Unido",hace 2 días,41 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Bases de datos, Ciencia de datos y Comunicación, Almacenamiento de datos, Extraer, transformar y cargar (ETL) y Ingeniería de datos",,2024-03-10
Junior Data Engineer,Pepper Mill,https://www.linkedin.com/company/pepper-mill/life,Pepper Mill,"Birmingham, Inglaterra, Reino Unido",hace 3 días,2 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Ciencia de datos, Comunicación y Visualización de datos, Almacenamiento de datos, Canalizaciones de datos, Datos no estructurados, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Resolución de incidencias",,2024-03-10
Junior Data Engineer,Pepper Mill,https://www.linkedin.com/company/pepper-mill/life,Pepper Mill,"Mánchester, Inglaterra, Reino Unido",hace 3 días,8 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Ciencia de datos, Comunicación y Visualización de datos, Almacenamiento de datos, Canalizaciones de datos, Datos no estructurados, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Resolución de incidencias",,2024-03-10
Junior Data Engineer,Pepper Mill,https://www.linkedin.com/company/pepper-mill/life,Pepper Mill,"Londres, Inglaterra, Reino Unido",hace 3 días,7 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Ciencia de datos, Comunicación y Visualización de datos, Almacenamiento de datos, Canalizaciones de datos, Datos no estructurados, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Resolución de incidencias",,2024-03-10
Data Analytics Engineer,La Fosse,https://www.linkedin.com/company/la-fosse/life,La Fosse,"Londres y alrededores, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,Microsoft Azure,60.000 £/año - 70.000 £/año,2024-03-10
Data Engineer,Townhouse,https://www.linkedin.com/company/townhousebeauty/life,Townhouse,"Gran Londres, Inglaterra, Reino Unido",hace 4 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Análisis de datos, Python y SQL, Ingeniería de datos  y Modelado de datos",,2024-03-10
Data Engineer,DataAnnotation,https://www.linkedin.com/company/dataannotationtech/life,DataAnnotation,Reino Unido,Publicado de nuevo hace 1 día,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,"Python y SQL, C#, C++, HTML y JavaScript",,2024-03-10
NS – Data Engineer,BAE Systems,https://www.linkedin.com/company/bae-systems/life,BAE Systems,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 3 días,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Media jornadaCoincide con tus preferencias de empleo. El tipo de empleo es Media jornada.,Sin experiencia,"Bases de datos y Facilidad de adaptación, Big data, Extraer, transformar y cargar (ETL), Herramientas ETL, Ingeniería de datos , Integración de datos, Interfaces, Modelado de datos y Recogida de datos",,2024-03-10
Data Engineer,Endeavor,https://www.linkedin.com/company/endeavor-co/life,Endeavor,"Londres y alrededores, Reino Unido",hace 23 horas,58 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Analítica de datos, Capacidad de análisis, Ciencia de datos y Comunicación, Almacenamiento de datos, Big data, Canalizaciones de datos, Extraer, transformar y cargar (ETL), Herramientas ETL y Ingeniería de datos",,2024-03-10
Data Engineer,Endeavor,https://www.linkedin.com/company/endeavor-co/life,Endeavor,"Londres, Inglaterra, Reino Unido",hace 17 horas,20 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,Sin experiencia,"Analítica de datos, Capacidad de análisis, Ciencia de datos y Comunicación, Almacenamiento de datos, Big data, Canalizaciones de datos, Extraer, transformar y cargar (ETL), Herramientas ETL y Ingeniería de datos",,2024-03-10
Data Engineer,ZenTech Talent,https://www.linkedin.com/company/zentech-talent/life,ZenTech Talent,"Londres y alrededores, Reino Unido",hace 15 horas,36 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Analítica de datos, Bases de datos y Ciencia de datos, Almacenamiento de datos, Extraer, transformar y cargar (ETL) y Ingeniería de datos",75.000 £/año - 85.000 £/año,2024-03-10
Data Engineer,Version 1,https://www.linkedin.com/company/version-1/life,Version 1,"Londres, Inglaterra, Reino Unido",hace 3 días,29 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Ciencia de datos, Almacenamiento de datos, Apache Kafka, Canalizaciones de datos, Cassandra, Extraer, transformar y cargar (ETL), Gestión de flujos de trabajo, Herramientas ETL, Ingeniería de datos  y Modelado de datos",,2024-03-10
Data Engineer,La Fosse,https://www.linkedin.com/company/la-fosse/life,La Fosse,"Buckinghamshire, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Bases de datos y Ciencia de datos, Extraer, transformar y cargar (ETL) y Ingeniería de datos",55.000 £/año - 60.000 £/año,2024-03-10
Data Engineer,LoyaltyLion,https://www.linkedin.com/company/loyaltylion/life,LoyaltyLion,Reino Unido,hace 23 horas,69 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Python y SQL, Adobe Spark y Amazon Web Services (AWS)",,2024-03-10
Data Engineer,WGSN,https://www.linkedin.com/company/wgsn/life,WGSN,"Gran Londres, Inglaterra, Reino Unido",hace 1 semana,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Bases de datos, Python y SQL, Almacenamiento de datos, Apache Spark, Aplicaciones en la nube, Ciencias de la computación, Ingeniería de datos , Java y Modelado de datos",,2024-03-10
Data Engineer II,Trustpilot,https://www.linkedin.com/company/trustpilot/life,Trustpilot,"Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,"Bases de datos, Ciencia de datos, Comunicación y Resolución de problemas, Almacenamiento de datos, Apache Kafka, Extraer, transformar y cargar (ETL), Google Cloud , Ingeniería de datos  y Resolución creativa de problemas",,2024-03-10
Analytics Engineer (12 Month FTC),Dojo,https://www.linkedin.com/company/dojo-tech/life,Dojo,"Londres, Inglaterra, Reino Unido",hace 1 semana,38 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Contrato por obraCoincide con tus preferencias de empleo. El tipo de empleo es Contrato por obra.,Sin experiencia,"Analítica de datos, Ciencia de datos y Comunicación, Ajuste de rendimiento, Canalizaciones de datos, Datasets, Google BigQuery, Ingeniería de datos , Modelado de datos y Snowflake",,2024-03-10
Data Engineer,Sika,https://www.linkedin.com/company/sika/life,Sika,"Welwyn Garden City, Inglaterra, Reino Unido",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Ciencia de datos, Comunicación, Limpieza de datos y Python, Almacenamiento de datos, Atención al detalle, Extraer, transformar y cargar (ETL), Habilidades sociales, Ingeniería de datos  y Scientific Experimentation",,2024-03-10
Data Engineer,SoCode Recruitment,https://www.linkedin.com/company/socode-recruitment/life,SoCode Recruitment,"Londres, Inglaterra, Reino Unido",hace 2 semanas,16 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Sin experiencia,"Analítica de datos, Bases de datos y Ciencia de datos, Almacenamiento de datos, Canalizaciones de datos, Extraer, transformar y cargar (ETL) y Ingeniería de datos",50.000 £/año - 80.000 £/año,2024-03-10
"Data Engineer - Remote - GBP55,000",RemoteWorker UK,https://www.linkedin.com/company/remoteworkeruk/life,RemoteWorker UK,"Bradford, Inglaterra, Reino Unido",hace 3 horas,0 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Ciencia de datos, Comunicación, Python y SQL, Azure Data Factory, Experiencia en codificación, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Lagos de datos",,2024-03-10
"Data Engineer - Remote - GBP55,000",RemoteWorker UK,https://www.linkedin.com/company/remoteworkeruk/life,RemoteWorker UK,"Derby, Inglaterra, Reino Unido",hace 3 horas,1 solicitud,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Ciencia de datos, Comunicación, Python y SQL, Azure Data Factory, Experiencia en codificación, Extraer, transformar y cargar (ETL), Ingeniería de datos  y Lagos de datos",,2024-03-10
Data Engineer,Monument Re Group,https://www.linkedin.com/company/monument-re-group/life,Monument Re Group,"Gran Londres, Inglaterra, Reino Unido",Publicado de nuevo hace 1 hora,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Ciencia de datos y SQL, Ajuste de consultas, Calidad de datos, Extraer, transformar y cargar (ETL), Ingeniería de datos , Lenguaje de consulta (query), Manipulación de datos y Modelado de datos",,2024-03-10
Data Engineer,Ocado Retail Ltd,https://www.linkedin.com/company/ocado-retail/life,Ocado Retail Ltd,"Hatfield, Inglaterra, Reino Unido",hace 4 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Python y SQL, Google Cloud  y Ingeniería de datos",,2024-03-10
Data Engineer,Feefo,https://www.linkedin.com/company/feefo/life,Feefo,"Gran Londres, Inglaterra, Reino Unido",hace 4 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Algo de responsabilidad,"Ciencia de datos y SQL, Almacenamiento de datos, Extraer, transformar y cargar (ETL), Herramientas ETL y Ingeniería de datos",,2024-03-10
Data Engineer,TRIA,https://www.linkedin.com/company/tria-recruitment/life,TRIA,"Gran Londres, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Intermedio,"Análisis de datos y Microsoft Power BI, Azure Data Lake, Azure Databricks, Azure DevOps, Big data, DevOps, Ingeniería de datos , Inteligencia artificial y Seguros",70.000 £/año - 80.000 £/año,2024-03-10
Data Engineer,Two Circles,https://www.linkedin.com/company/two-circles/life,Two Circles,"Inglaterra, Reino Unido",hace 1 mes,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Sin experiencia,"Analítica de datos, Ciencia de datos y Comunicación, Almacenamiento de datos, Canalizaciones de datos, Datasets, Documentación técnica, Extraer, transformar y cargar (ETL), Ingeniería de datos  y PySpark",,2024-03-10
Data Engineer,La Fosse,https://www.linkedin.com/company/la-fosse/life,La Fosse,"Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Intermedio,"Bases de datos, Ciencia de datos y SQL, Almacenamiento de datos, Extraer, transformar y cargar (ETL) y Ingeniería de datos",65.000 £/año - 75.000 £/año,2024-03-10
Data Engineer,La Fosse,https://www.linkedin.com/company/la-fosse/life,La Fosse,"Gran Londres, Inglaterra, Reino Unido",hace 2 semanas,Más de 100 solicitudes,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,En remotoCoincide con tus preferencias de empleo. La modalidad laboral es En remoto.,Intermedio,"Pandas (Software), Python y SQL, Airflow, Amazon Redshift, Amazon Web Services (AWS), Ciencias de la computación, Manipulación de datos, Modelado de datos y Resolución de incidencias",70.000 £/año - 75.000 £/año,2024-03-10
Data Engineer,PureGym,https://www.linkedin.com/company/pure-gym/life,PureGym,"Gran Londres, Inglaterra, Reino Unido",hace 4 semanas,Más de 100 solicitudes,HíbridoCoincide con tus preferencias de empleo. La modalidad laboral es Híbrido.,Jornada completaCoincide con tus preferencias de empleo. El tipo de empleo es Jornada completa.,Intermedio,"Analítica de datos, Ingeniería, Ingeniería de datos , Ingeniería de sistemas y Operaciones de TI",,2024-03-10
Data Engineer,Understanding Recruitment,https://www.linkedin.com/company/understanding-recruitment/life,Understanding Recruitment,"Gran Londres, Inglaterra, Reino Unido",hace 3 semanas,Más de 100 solicitudes,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,PresencialCoincide con tus preferencias de empleo. La modalidad laboral es Presencial.,Algo de responsabilidad,"Python y SQL, Amazon Web Services (AWS), Crypto, Ethereum, Microsoft SQL Server y MongoDB",40.000 £/año - 60.000 £/año,2024-03-10
